MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Bet365_CloseHomeWinOdds,Bet365_CloseDrawOdds,Bet365_CloseAwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
2024-10-18,Monaco,Lille,0,0,D,0,0,D,14,3,4,1,13,14,6,1,1,5,1,0,1.91,3.6,3.8,1.93,3.6,3.8,1.94,3.75,4.04,2.0,3.5,3.6,2.13,3.63,3.52,2024-25
2024-10-19,Brest,Rennes,1,1,D,0,0,D,12,6,2,4,18,15,2,4,2,2,0,0,2.9,3.25,2.5,2.87,3.3,2.45,2.99,3.22,2.58,2.63,3.2,2.75,2.73,3.23,2.84,2024-25
2024-10-19,St Etienne,Lens,0,2,A,0,1,A,15,13,1,5,12,16,2,7,1,2,0,0,5.25,3.75,1.67,5.0,3.75,1.68,5.3,3.84,1.7,6.0,4.2,1.55,5.92,4.38,1.58,2024-25
2024-10-19,Paris SG,Strasbourg,4,2,H,1,0,H,18,16,10,8,10,12,5,5,2,2,0,0,1.27,5.75,10.0,1.29,6.0,9.0,1.26,6.67,9.83,1.3,5.5,9.0,1.3,6.2,9.32,2024-25
2024-10-20,Le Havre,Lyon,0,4,A,0,1,A,7,16,1,8,17,11,4,6,3,4,0,0,3.75,3.5,2.0,3.5,3.6,2.0,3.88,3.57,2.01,4.75,3.8,1.73,4.85,3.93,1.75,2024-25
2024-10-20,Auxerre,Reims,2,1,H,1,0,H,10,15,8,3,6,10,5,9,2,3,0,0,2.63,3.4,2.6,2.55,3.5,2.6,2.78,3.46,2.6,3.25,3.4,2.2,3.37,3.56,2.22,2024-25
2024-10-20,Nantes,Nice,1,1,D,0,0,D,11,13,7,7,10,11,4,8,2,1,0,0,3.25,3.1,2.38,3.1,3.2,2.35,3.26,3.16,2.44,2.88,3.2,2.55,2.94,3.18,2.69,2024-25
2024-10-20,Toulouse,Angers,1,1,D,0,1,A,18,8,6,4,11,9,8,2,2,4,0,0,1.57,3.75,6.5,1.57,3.9,6.0,1.6,3.95,6.24,1.45,4.1,8.0,1.49,4.39,7.63,2024-25
2024-10-20,Montpellier,Marseille,0,5,A,0,3,A,13,21,5,10,11,18,3,2,1,3,1,0,4.33,4.0,1.73,4.2,4.1,1.75,4.37,4.04,1.79,4.33,4.0,1.75,4.46,4.05,1.74,2024-25
2024-10-25,Rennes,Le Havre,1,0,H,0,0,D,20,5,4,1,10,7,14,0,2,4,0,1,1.45,4.0,7.5,1.49,4.2,7.0,1.49,4.37,7.65,1.53,3.9,7.0,1.53,4.26,6.98,2024-25
