MatchDate,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Home_xG,Away_xG
2024-04-07,Reims,Nice,0.0,0.0,0.93,0.93
2024-04-07,Toulouse,Strasbourg,0.0,0.0,0.62,0.31
2024-04-07,Monaco,Rennes,1.0,0.0,1.55,2.17
2024-04-07,Nantes,Lyon,1.0,3.0,1.86,3.1
2024-04-12,Metz,Lens,2.0,1.0,1.55,0.62
2024-04-13,Strasbourg,Reims,3.0,1.0,1.86,0.62
2024-04-13,Rennes,Toulouse,1.0,2.0,1.24,0.93
2024-04-14,Lyon,Brest,4.0,3.0,2.48,2.17
2024-04-14,Le Havre,Nantes,0.0,1.0,0.31,1.24
2024-04-14,Clermont,Montpellier,1.0,1.0,0.62,1.86
2024-04-19,Nice,Lorient,3.0,0.0,3.1,1.24
2024-04-20,Nantes,Rennes,0.0,3.0,1.24,1.55
2024-04-20,Lens,Clermont,1.0,0.0,1.24,0.31
2024-04-21,Le Havre,Metz,0.0,1.0,1.24,0.62
2024-04-21,Lille,Strasbourg,1.0,0.0,0.62,0.62
2024-04-21,Reims,Montpellier,1.0,2.0,1.24,1.55
2024-04-21,Brest,Monaco,0.0,2.0,0.62,0.93
2024-04-21,Toulouse,Marseille,2.0,2.0,0.93,0.93
2024-04-21,Paris SG,Lyon,4.0,1.0,1.86,1.86
2024-04-24,Lorient,Paris SG,1.0,4.0,1.86,2.17
2024-04-24,Marseille,Nice,2.0,2.0,1.24,1.24
2024-04-24,Monaco,Lille,1.0,0.0,2.17,1.24
2024-04-26,Montpellier,Nantes,1.0,1.0,0.31,1.55
2024-04-27,Paris SG,Le Havre,3.0,3.0,1.24,1.24
2024-04-28,Metz,Lille,1.0,2.0,0.62,1.24
2024-04-28,Clermont,Reims,4.0,1.0,1.86,0.93
2024-04-28,Lorient,Toulouse,1.0,2.0,1.55,1.55
2024-04-28,Strasbourg,Nice,1.0,3.0,1.55,1.24
2024-04-28,Rennes,Brest,4.0,5.0,2.17,1.55
2024-04-28,Lyon,Monaco,3.0,2.0,1.24,1.55
2024-04-28,Marseille,Lens,2.0,1.0,1.86,1.55
2024-05-03,Toulouse,Montpellier,1.0,2.0,1.55,0.93
2024-05-03,Lens,Lorient,2.0,0.0,1.86,1.55
2024-05-04,Le Havre,Strasbourg,3.0,1.0,2.17,0.93
2024-05-04,Monaco,Clermont,4.0,1.0,2.48,0.31
2024-05-04,Metz,Rennes,2.0,3.0,1.24,2.79
2024-05-04,Brest,Nantes,0.0,0.0,0.62,0.31
2024-05-06,Lille,Lyon,3.0,4.0,1.55,2.17
2024-05-10,Brest,Reims,1.0,1.0,1.55,0.62
2024-05-10,Nice,Le Havre,1.0,0.0,1.86,0.93
2024-05-12,Clermont,Lyon,0.0,1.0,1.55,0.62
2024-05-12,Marseille,Lorient,3.0,1.0,1.24,0.93
2024-05-12,Montpellier,Monaco,0.0,2.0,0.93,2.79
