Div,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Bet365_CloseHomeWinOdds,Bet365_CloseDrawOdds,Bet365_CloseAwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
F1,2020-09-27,Nimes,Lens,1,1,D,0,1,A,13,15,4,6,10,16,5,7,0,3,0,0,2.6,3.3,2.75,2.7,3.25,2.7,2.76,3.33,2.7,3.3,3.4,2.1,3.57,3.34,2.26,2020-21
F1,2020-09-27,Lorient,Lyon,1,1,D,0,0,D,4,19,2,6,19,7,1,5,2,0,0,0,5.75,4.2,1.57,5.5,4.1,1.6,5.49,4.24,1.62,4.5,3.8,1.72,5.15,4.2,1.69,2020-21
F1,2020-09-27,Reims,Paris SG,0,2,A,0,1,A,8,21,3,7,11,10,3,7,2,2,0,0,13.0,6.0,1.22,11.0,6.25,1.25,11.39,6.33,1.27,13.0,6.0,1.2,14.75,7.48,1.21,2020-21
F1,2020-10-02,Paris SG,Angers,6,1,H,2,0,H,18,8,12,2,11,9,6,2,1,2,0,0,1.1,9.0,21.0,1.11,10.0,21.0,1.09,11.75,27.98,1.08,10.0,23.0,1.09,11.94,25.33,2020-21
F1,2020-10-03,Lens,St Etienne,2,0,H,1,0,H,13,2,5,1,23,10,12,0,1,1,0,2,1.95,3.5,4.2,2.05,3.4,3.75,2.08,3.51,3.89,1.8,3.6,4.5,1.86,3.66,4.7,2020-21
F1,2020-10-03,Nice,Nantes,2,1,H,1,1,D,18,11,7,1,13,8,9,2,2,1,0,1,2.45,3.25,3.0,2.45,3.2,3.0,2.51,3.32,3.1,2.2,3.4,3.25,2.28,3.46,3.39,2020-21
F1,2020-10-04,Montpellier,Nimes,0,1,A,0,0,D,12,8,2,1,14,15,8,2,2,1,0,0,1.66,3.8,5.5,1.72,3.9,4.75,1.69,3.86,5.72,1.7,3.8,5.0,1.76,3.7,5.36,2020-21
F1,2020-10-04,Bordeaux,Dijon,3,0,H,2,0,H,17,5,7,1,15,14,5,4,2,3,0,0,1.66,3.8,5.25,1.65,3.8,5.5,1.71,3.93,5.36,1.65,3.8,5.25,1.68,3.96,5.71,2020-21
F1,2020-10-04,Brest,Monaco,1,0,H,1,0,H,7,21,5,2,10,17,1,8,3,4,0,0,3.1,3.6,2.2,3.1,3.5,2.25,3.1,3.83,2.28,2.8,3.75,2.3,2.99,3.68,2.41,2020-21
F1,2020-10-04,Metz,Lorient,3,1,H,1,1,D,16,10,8,4,10,14,4,3,1,2,0,0,2.3,3.2,3.3,2.3,3.2,3.1,2.29,3.46,3.37,2.25,3.2,3.4,2.36,3.28,3.42,2020-21
F1,2020-10-04,Strasbourg,Lille,0,3,A,0,1,A,14,12,3,6,11,10,11,1,1,1,0,0,3.3,3.3,2.25,3.3,3.2,2.3,3.39,3.37,2.33,4.0,3.3,2.05,3.98,3.28,2.14,2020-21
F1,2020-10-04,Rennes,Reims,2,2,D,2,1,H,18,9,3,4,12,16,10,2,4,3,0,0,1.61,3.75,6.0,1.67,3.9,5.25,1.65,3.91,6.14,1.75,3.6,5.0,1.83,3.47,5.28,2020-21
F1,2020-10-04,Lyon,Marseille,1,1,D,1,1,D,24,4,3,1,14,10,19,5,1,1,0,1,1.7,3.8,5.0,1.67,4.0,5.0,1.73,3.94,5.18,1.75,3.6,4.75,1.84,3.88,4.5,2020-21
F1,2020-10-16,Dijon,Rennes,1,1,D,0,1,A,12,12,4,3,22,13,3,5,4,2,0,0,5.25,3.8,1.66,5.0,3.8,1.7,5.28,4.06,1.7,5.25,4.0,1.61,5.16,4.21,1.68,2020-21
F1,2020-10-16,Nimes,Paris SG,0,4,A,0,1,A,5,30,2,11,10,12,1,9,1,2,1,0,6.5,5.0,1.4,6.75,5.0,1.42,7.17,5.29,1.42,8.0,5.25,1.33,9.08,5.64,1.34,2020-21
F1,2020-10-17,Reims,Lorient,1,3,A,1,0,H,6,14,3,4,14,11,3,6,4,1,2,0,2.1,3.4,3.6,2.15,3.3,3.5,2.15,3.49,3.7,2.05,3.5,3.75,2.16,3.48,3.66,2020-21
F1,2020-10-17,Marseille,Bordeaux,3,1,H,1,0,H,6,8,4,4,13,13,6,10,3,1,0,0,2.0,3.5,3.8,2.0,3.6,3.7,2.09,3.48,3.9,2.05,3.5,3.4,2.15,3.41,3.78,2020-21
F1,2020-10-18,Strasbourg,Lyon,2,3,A,1,3,A,20,14,9,8,13,8,4,2,2,3,0,0,3.6,3.3,2.15,3.4,3.3,2.2,3.54,3.38,2.12,5.0,3.75,1.7,5.01,3.86,1.77,2020-21
F1,2020-10-18,Angers,Metz,1,1,D,1,1,D,7,7,2,3,18,13,2,5,4,2,0,0,2.0,3.4,3.9,2.0,3.4,3.9,2.05,3.45,4.09,2.05,3.4,3.8,2.1,3.36,4.01,2020-21
F1,2020-10-18,Monaco,Montpellier,1,1,D,0,0,D,21,3,7,2,13,13,10,2,2,1,0,1,,,,1.48,4.75,6.0,1.51,5.0,6.15,,,,1.96,3.88,3.83,2020-21
F1,2020-10-18,Nantes,Brest,3,1,H,2,0,H,12,14,8,5,15,15,2,6,3,2,0,0,2.15,3.4,3.4,2.2,3.4,3.3,2.17,3.65,3.48,2.2,3.4,3.3,2.33,3.52,3.23,2020-21
F1,2020-10-18,St Etienne,Nice,1,3,A,0,2,A,11,11,4,5,15,10,7,3,2,5,0,0,2.25,3.25,3.25,2.3,3.3,3.2,2.42,3.29,3.29,2.87,3.3,2.5,2.94,3.2,2.71,2020-21
F1,2020-10-18,Lille,Lens,4,0,H,1,0,H,17,7,6,2,13,16,7,2,0,3,0,2,1.83,3.6,4.33,1.85,3.6,4.33,1.9,3.73,4.38,1.95,3.3,4.2,2.04,3.28,4.38,2020-21
F1,2020-10-23,Rennes,Angers,1,2,A,1,1,D,11,10,1,4,11,5,5,4,2,0,0,0,2.05,3.4,3.5,2.05,3.25,3.9,2.1,3.39,3.98,2.25,3.25,3.2,2.29,3.36,3.46,2020-21
F1,2020-10-24,Lorient,Marseille,0,1,A,0,0,D,13,15,3,3,10,12,6,4,3,3,0,0,2.87,3.4,2.4,3.0,3.25,2.45,3.05,3.3,2.56,2.75,3.1,2.7,2.87,3.05,2.9,2020-21
F1,2020-10-24,Paris SG,Dijon,4,0,H,2,0,H,20,16,9,3,12,18,4,10,0,2,0,0,1.06,12.0,23.0,1.05,15.5,31.0,1.06,14.66,32.95,1.08,12.0,21.0,1.1,12.1,23.46,2020-21
F1,2020-10-25,Bordeaux,Nimes,2,0,H,0,0,D,20,8,6,4,9,16,7,4,3,3,0,0,1.95,3.3,4.0,2.0,3.3,4.0,1.96,3.68,4.11,1.75,3.75,4.75,1.8,3.78,4.91,2020-21
F1,2020-10-25,Brest,Strasbourg,0,3,A,0,2,A,14,7,4,5,8,11,12,2,1,3,0,0,2.15,3.5,3.2,2.25,3.4,3.2,2.25,3.88,3.13,2.25,3.6,2.9,2.37,3.54,3.15,2020-21
F1,2020-10-25,Metz,St Etienne,2,0,H,1,0,H,6,10,3,0,11,18,5,3,3,3,0,0,2.37,3.2,3.1,2.4,3.2,3.1,2.39,3.5,3.14,2.1,3.2,3.8,2.2,3.31,3.76,2020-21
F1,2020-10-25,Montpellier,Reims,0,4,A,0,3,A,5,24,1,9,7,11,3,8,1,0,2,0,1.85,3.5,4.2,2.05,3.3,3.9,2.21,3.37,3.58,1.85,3.5,4.5,1.94,3.46,4.31,2020-21
F1,2020-10-25,Nice,Lille,1,1,D,0,0,D,8,12,3,4,13,18,5,3,1,6,0,0,3.5,3.1,2.2,3.4,3.25,2.25,3.45,3.54,2.22,4.0,3.4,2.0,4.1,3.65,1.98,2020-21
F1,2020-10-25,Lyon,Monaco,4,1,H,4,0,H,15,18,6,5,12,15,2,12,3,4,1,0,1.65,4.0,4.75,1.72,4.1,4.4,1.7,4.42,4.77,1.75,3.8,4.33,1.85,3.99,4.27,2020-21
F1,2020-10-31,Rennes,Brest,2,1,H,0,0,D,24,9,8,4,2,12,8,1,1,3,0,0,1.9,3.75,3.8,1.95,3.7,3.75,2.04,3.68,3.83,1.83,3.8,3.8,1.88,3.95,4.16,2020-21
F1,2020-10-31,Nantes,Paris SG,0,3,A,0,0,D,6,13,1,4,13,13,2,4,2,1,0,0,7.5,4.75,1.4,7.25,5.0,1.4,7.8,5.17,1.42,7.5,4.75,1.4,6.44,5.13,1.48,2020-21
F1,2020-11-01,St Etienne,Montpellier,0,1,A,0,1,A,8,10,0,2,16,17,8,2,3,3,0,0,2.4,3.25,3.0,2.45,3.25,3.0,2.46,3.53,3.02,2.62,3.25,2.75,2.68,3.38,2.83,2020-21
F1,2020-11-01,Angers,Nice,0,3,A,0,2,A,11,12,5,5,18,12,9,5,5,2,0,0,2.25,3.2,3.4,2.25,3.4,3.25,2.28,3.43,3.43,2.3,3.3,3.1,2.45,3.4,3.12,2020-21
F1,2020-11-01,Dijon,Lorient,0,0,D,0,0,D,11,9,2,1,18,13,9,7,2,1,0,0,3.2,3.5,2.2,3.1,3.4,2.3,3.26,3.6,2.28,3.25,3.5,2.15,3.21,3.64,2.29,2020-21
F1,2020-11-01,Nimes,Metz,0,1,A,0,1,A,16,8,2,5,13,15,10,1,3,2,0,1,2.45,3.25,3.0,2.35,3.4,3.0,2.58,3.37,2.95,2.9,3.1,2.55,3.09,3.0,2.74,2020-21
F1,2020-11-01,Reims,Strasbourg,2,1,H,2,1,H,12,9,4,3,13,13,5,3,0,2,0,0,2.3,3.2,3.25,2.3,3.3,3.2,2.38,3.48,3.19,2.7,3.1,2.75,2.74,3.13,2.97,2020-21
F1,2020-11-01,Monaco,Bordeaux,4,0,H,3,0,H,17,5,6,0,10,12,10,4,2,2,0,0,1.85,3.6,4.2,1.91,3.7,3.9,1.92,3.94,4.01,1.75,4.0,4.33,1.79,4.1,4.48,2020-21
F1,2020-11-01,Lille,Lyon,1,1,D,1,1,D,15,8,6,1,14,10,9,4,3,3,0,1,2.8,3.25,2.6,2.7,3.3,2.65,2.83,3.34,2.71,2.8,3.3,2.5,2.88,3.3,2.69,2020-21
F1,2020-11-06,Strasbourg,Marseille,0,1,A,0,0,D,9,1,2,1,13,17,2,2,0,4,0,0,2.87,3.3,2.45,3.0,3.25,2.45,2.99,3.23,2.64,2.5,3.1,3.0,2.59,3.12,3.17,2020-21
F1,2020-11-07,Bordeaux,Montpellier,0,2,A,0,0,D,9,9,1,3,14,10,3,5,2,1,0,0,2.3,3.3,3.1,2.35,3.3,3.1,2.42,3.38,3.18,2.55,3.3,2.75,2.77,3.14,2.92,2020-21
F1,2020-11-07,Paris SG,Rennes,3,0,H,2,0,H,9,16,6,3,19,15,2,7,3,0,0,0,1.4,5.25,6.5,1.4,5.0,7.5,1.42,4.87,6.98,1.44,4.75,6.0,1.51,4.73,6.19,2020-21
F1,2020-11-08,Brest,Lille,3,2,H,3,1,H,12,22,8,7,13,15,3,11,4,3,0,0,3.75,3.5,1.95,3.5,3.6,2.05,3.8,3.66,2.05,4.75,3.8,1.7,4.67,3.94,1.8,2020-21
