Div,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
F1,2017-09-22,Lille,Monaco,0,4,A,0,2,A,11,12,2,7,18,14,1,1,1,2,0,0,4.75,3.8,1.7,4.75,3.8,1.75,5.14,4.05,1.72,5.15,4.08,1.72,2017-18
F1,2017-09-22,Nice,Angers,2,2,D,1,2,A,17,15,3,6,13,18,8,1,4,2,0,0,1.8,3.5,4.5,1.8,3.5,4.75,1.83,3.64,5.01,1.81,3.58,5.29,2017-18
F1,2017-09-23,Bordeaux,Guingamp,3,1,H,1,0,H,21,10,8,4,14,14,5,2,4,2,0,0,1.73,3.5,5.5,1.75,3.6,5.0,1.79,3.76,4.95,1.71,3.96,5.45,2017-18
F1,2017-09-23,Caen,Amiens,1,0,H,0,0,D,17,2,4,0,14,19,7,3,1,2,0,0,1.85,3.3,4.75,1.9,3.4,4.4,1.92,3.39,4.8,1.99,3.28,4.7,2017-18
F1,2017-09-23,Lyon,Dijon,3,3,D,1,1,D,20,11,6,6,17,19,8,1,1,5,0,0,1.29,5.75,10.0,1.26,6.25,10.5,1.28,6.27,11.8,1.37,5.6,8.9,2017-18
F1,2017-09-23,Metz,Troyes,0,1,A,0,0,D,15,9,7,2,11,12,5,4,3,3,0,1,2.0,3.3,4.0,2.15,3.2,3.7,2.18,3.42,3.65,2.14,3.42,3.84,2017-18
F1,2017-09-23,Montpellier,Paris SG,0,0,D,0,0,D,5,10,2,1,15,13,2,11,2,2,0,0,17.0,7.5,1.17,15.0,6.25,1.22,16.0,6.85,1.22,14.75,6.7,1.24,2017-18
F1,2017-09-24,Marseille,Toulouse,2,0,H,1,0,H,22,8,6,1,11,10,12,5,2,0,0,0,1.53,4.2,6.5,1.55,3.9,6.75,1.62,4.15,6.0,1.54,4.27,7.34,2017-18
F1,2017-09-24,St Etienne,Rennes,2,2,D,1,1,D,9,9,4,4,11,14,9,5,3,3,1,0,2.05,3.2,4.0,2.05,3.25,3.9,2.16,3.36,3.79,2.42,3.18,3.41,2017-18
F1,2017-09-24,Strasbourg,Nantes,1,2,A,1,2,A,21,12,6,5,7,5,12,3,1,1,0,0,2.55,3.0,3.1,2.55,3.0,3.1,2.77,2.97,3.06,2.62,3.12,3.14,2017-18
F1,2017-09-29,Monaco,Montpellier,1,1,D,1,0,H,8,15,1,3,19,12,3,4,3,1,0,0,1.36,5.0,8.5,1.33,5.0,10.0,1.34,5.58,9.77,1.37,5.35,9.9,2017-18
F1,2017-09-30,Dijon,Strasbourg,1,1,D,0,0,D,13,7,6,1,10,17,7,4,0,2,1,0,2.05,3.2,4.0,2.05,3.1,3.8,2.11,3.54,3.73,2.31,3.48,3.34,2017-18
F1,2017-09-30,Guingamp,Toulouse,1,1,D,1,1,D,6,11,4,2,17,18,6,4,1,2,0,0,1.91,3.4,4.33,1.95,3.3,3.9,1.96,3.44,4.44,1.91,3.57,4.65,2017-18
F1,2017-09-30,Nantes,Metz,1,0,H,1,0,H,15,9,6,1,14,9,4,4,2,4,0,1,1.67,3.5,6.0,1.6,3.6,6.0,1.7,3.71,5.96,1.61,4.08,6.5,2017-18
F1,2017-09-30,Paris SG,Bordeaux,6,2,H,5,1,H,11,17,9,6,10,18,1,5,1,2,0,0,1.14,9.0,15.0,1.12,8.25,18.5,1.14,10.52,19.0,1.15,9.6,20.5,2017-18
F1,2017-09-30,Rennes,Caen,0,1,A,0,1,A,9,10,2,3,14,25,8,3,4,1,0,0,1.91,3.25,4.5,1.91,3.3,4.1,1.93,3.4,4.66,1.9,3.49,4.79,2017-18
F1,2017-10-01,Angers,Lyon,3,3,D,1,3,A,15,13,4,6,12,14,9,4,2,3,0,1,3.25,3.25,2.3,3.25,3.25,2.2,3.34,3.52,2.26,3.53,3.65,2.16,2017-18
F1,2017-10-01,Nice,Marseille,2,4,A,2,3,A,19,17,10,9,14,16,9,5,2,3,0,1,2.38,3.4,3.0,2.3,3.2,3.1,2.38,3.5,3.13,2.44,3.54,3.05,2017-18
F1,2017-10-01,Troyes,St Etienne,2,1,H,1,0,H,11,14,7,4,7,17,5,8,3,1,1,1,3.3,3.2,2.3,3.1,3.2,2.3,3.46,3.21,2.36,3.78,3.34,2.19,2017-18
F1,2017-10-13,Lyon,Monaco,3,2,H,2,2,D,22,14,7,7,9,15,7,5,4,1,0,0,2.1,3.75,3.3,2.05,3.9,3.3,2.14,4.02,3.29,1.92,4.22,3.83,2017-18
F1,2017-10-14,Caen,Angers,0,2,A,0,0,D,22,12,5,4,12,18,4,4,1,4,0,0,2.5,3.1,3.1,2.5,3.1,3.1,2.5,3.07,3.34,2.45,3.21,3.32,2017-18
F1,2017-10-14,Dijon,Paris SG,1,2,A,0,0,D,15,18,5,8,10,13,5,9,3,4,0,0,21.0,9.0,1.13,18.5,9.0,1.13,26.28,9.54,1.13,21.0,9.6,1.15,2017-18
F1,2017-10-14,Guingamp,Rennes,2,0,H,0,0,D,16,11,9,0,19,15,6,5,3,6,0,1,2.15,3.3,3.5,2.15,3.25,3.6,2.16,3.45,3.67,2.16,3.53,3.64,2017-18
F1,2017-10-14,Lille,Troyes,2,2,D,1,1,D,16,10,6,2,16,12,3,1,1,2,1,0,1.55,3.8,6.5,1.55,4.0,6.5,1.6,4.02,6.76,1.71,3.97,5.4,2017-18
F1,2017-10-14,St Etienne,Metz,3,1,H,0,1,A,20,10,5,2,10,16,12,5,2,1,0,0,1.53,4.0,7.0,1.5,4.33,6.75,1.58,4.06,6.81,1.67,3.97,5.94,2017-18
F1,2017-10-14,Toulouse,Amiens,1,0,H,1,0,H,16,7,6,2,14,21,3,0,1,5,0,1,1.73,3.5,5.0,1.83,3.4,4.75,1.79,3.32,5.98,1.86,3.31,5.47,2017-18
F1,2017-10-15,Bordeaux,Nantes,1,1,D,0,1,A,18,14,3,4,13,15,6,2,3,2,0,0,1.67,3.5,6.0,1.67,3.5,6.0,1.67,3.79,6.19,1.69,3.78,6.11,2017-18
F1,2017-10-15,Montpellier,Nice,2,0,H,0,0,D,14,15,4,8,14,15,4,7,3,1,0,0,2.4,3.2,3.1,2.45,3.1,3.1,2.51,3.27,3.12,2.79,3.15,2.91,2017-18
F1,2017-10-15,Strasbourg,Marseille,3,3,D,1,1,D,19,20,9,7,14,9,4,4,3,3,0,0,4.2,3.4,1.91,3.9,3.4,2.0,3.84,3.57,2.06,4.42,3.55,1.95,2017-18
F1,2017-10-20,St Etienne,Montpellier,0,1,A,0,1,A,21,15,4,4,25,17,6,2,2,3,0,0,2.14,3.25,3.6,2.2,3.1,3.7,2.22,3.18,3.92,2.17,3.26,3.96,2017-18
F1,2017-10-21,Amiens,Bordeaux,1,0,H,0,0,D,13,14,4,4,12,13,4,3,3,1,0,0,5.5,3.79,1.64,5.5,3.8,1.65,5.88,3.88,1.67,6.23,3.91,1.66,2017-18
F1,2017-10-21,Angers,Toulouse,0,1,A,0,1,A,14,3,4,1,11,16,4,2,2,4,0,0,2.0,3.39,4.0,2.0,3.25,4.2,2.01,3.31,4.43,2.02,3.45,4.25,2017-18
F1,2017-10-21,Metz,Dijon,1,2,A,1,1,D,15,8,5,6,11,15,2,5,1,2,1,0,2.75,3.29,2.62,2.6,3.3,2.75,2.84,3.25,2.74,2.7,3.32,2.87,2017-18
