Date,Time,Matchday,HomeTeam,AwayTeam,Status
2027-04-09,08:00 PM ET,27,ES Troyes AC,Angers,SCHEDULED
2027-04-09,08:00 PM ET,27,Paris SG,Le Havre,SCHEDULED
2027-04-09,08:00 PM ET,27,Lyon,Strasbourg,SCHEDULED
2027-04-09,08:00 PM ET,27,Le Mans FC,Auxerre,SCHEDULED
2027-04-09,08:00 PM ET,27,Lille,Toulouse,SCHEDULED
2027-04-09,08:00 PM ET,27,Nice,Paris FC,SCHEDULED
2027-04-16,08:00 PM ET,28,Auxerre,Lorient,SCHEDULED
2027-04-16,08:00 PM ET,28,Brest,Le Mans FC,SCHEDULED
2027-04-16,08:00 PM ET,28,Monaco,Strasbourg,SCHEDULED
2027-04-16,08:00 PM ET,28,Angers,Lyon,SCHEDULED
2027-04-16,08:00 PM ET,28,Racing Club de Lens,Nice,SCHEDULED
2027-04-16,08:00 PM ET,28,Stade Rennais FC 1901,ES Troyes AC,SCHEDULED
2027-04-16,08:00 PM ET,28,Le Havre,Marseille,SCHEDULED
2027-04-16,08:00 PM ET,28,Paris SG,Lille,SCHEDULED
2027-04-16,08:00 PM ET,28,Toulouse,Paris FC,SCHEDULED
2027-04-23,08:00 PM ET,29,Paris FC,Racing Club de Lens,SCHEDULED
2027-04-23,08:00 PM ET,29,Marseille,Auxerre,SCHEDULED
2027-04-23,08:00 PM ET,29,Lille,Monaco,SCHEDULED
2027-04-23,08:00 PM ET,29,Lorient,Paris SG,SCHEDULED
2027-04-23,08:00 PM ET,29,ES Troyes AC,Toulouse,SCHEDULED
2027-04-23,08:00 PM ET,29,Nice,Angers,SCHEDULED
2027-04-23,08:00 PM ET,29,Lyon,Brest,SCHEDULED
2027-04-23,08:00 PM ET,29,Le Mans FC,Le Havre,SCHEDULED
2027-04-23,08:00 PM ET,29,Strasbourg,Stade Rennais FC 1901,SCHEDULED
2027-04-30,08:00 PM ET,30,Strasbourg,Lille,SCHEDULED
2027-04-30,08:00 PM ET,30,Monaco,Lorient,SCHEDULED
2027-04-30,08:00 PM ET,30,ES Troyes AC,Brest,SCHEDULED
2027-04-30,08:00 PM ET,30,Racing Club de Lens,Le Mans FC,SCHEDULED
2027-04-30,08:00 PM ET,30,Paris SG,Angers,SCHEDULED
2027-04-30,08:00 PM ET,30,Le Havre,Paris FC,SCHEDULED
2027-04-30,08:00 PM ET,30,Auxerre,Lyon,SCHEDULED
2027-04-30,08:00 PM ET,30,Stade Rennais FC 1901,Nice,SCHEDULED
2027-04-30,08:00 PM ET,30,Toulouse,Marseille,SCHEDULED
2027-05-07,08:00 PM ET,31,Paris FC,Lille,SCHEDULED
2027-05-07,08:00 PM ET,31,Lorient,Strasbourg,SCHEDULED
